comment,hotel_name,source
"Pre-booked a taxi - £6 to Gatwick North in 10 mins or a shuttle every 15 minutes for £4
Quiet, comfortable and has everything you need on site.",Travelodge Gatwick Airport Central,agoda
Near to Gatwick Airport and the bus shuttle (£3/ way)run very frequent and on time btw airport n hotel. Bus stop right in front of the hotel lobby ,Travelodge Gatwick Airport Central,agoda
I hink the bus between the airport and the hotel should be included i the hotel price. It is not practical to have to pay while having to take care of the luggage! So inconvenient!,Travelodge Gatwick Airport Central,agoda
"The place was very clean, very nice, warm, staff very professional and in great proximity to the airport. Very much recommended if you're having a transfer at Gatwick.",Travelodge Gatwick Airport Central,agoda
"Location wise near airport.  Clean,  tidy and comfort stay. ",Travelodge Gatwick Airport Central,agoda
"Comfortable stay nearby Gatwick airport, I used agoda points and got it for half price but even at full price it would be a good deal. ",Travelodge Gatwick Airport Central,agoda
"Room was spartan but the bed comfortable and clean. The a/c was making a horrible noise when running . Reception said they’d send someone, but no one came. Food at the bar was excellent . No coat hangars or dresser to put items in or on. Other than that it was good. ",Travelodge Gatwick Airport Central,agoda
"excellent location.  Clean and well maintained room  with comfortable bed.   No glasses in bathroom but no doubt could have obtained if I had gone to  reception.  It's no frills but fine for overnight stay.
Surprisingly  quiet.  Would use again",Travelodge Gatwick Airport Central,agoda
"I was surprised it was way better than expected maybe newly renovated or something but It was great including the breakfast, my only complaint was that I was never able to get through the phone to talk to somebody. ",Travelodge Gatwick Airport Central,agoda
Needs better food options ,Travelodge Gatwick Airport Central,agoda
"Good value, near to Gatwick - with reliable shuttle service ",Travelodge Gatwick Airport Central,agoda
A perfect place to be.. nice hotel.. will come back for sure😂,Travelodge Gatwick Airport Central,agoda
"Friendly, helpful staff at Reception and in the restaurant/bar. The room was spacious, pleasantly cool on arrival rather than overheated like most hotel rooms. Travelodge beds are very comfortable.  The rooms are simply furnished and restful on the eye. Internet works well – but costs £3 per 24 hours extra. I like the fact that at Travelodge hotels you can pick up more tea, coffee, milk & sugar in the lobby if you need it without having to ask. The hotel is not far from Gatwick Airport – there is a bus from stop No. 8 which will bring you to the Travelodge – current fare £4 (from both North & South Terminal).  Overall, a very pleasant stay if you're arriving very late at night or heading out very early.",Travelodge Gatwick Airport Central,agoda
Everything just perfect !!!!!,Travelodge Gatwick Airport Central,agoda
Good facility-helpful and friendly staff-good value,Travelodge Gatwick Airport Central,agoda
"Pros: Clean, inexpensive and close to airport
No real cons
",Travelodge Gatwick Airport Central,agoda
"Upon arrival the staff were friendly and helpful, the room was beautiful and clean as was the bathroom (two towels!!). Food downstairs at the bar cafe was a wee bit expensive for what you actually got but again staff were great there and happy to help! Would definitely stay here again and recommend to family and friends. Reasonably priced and not far from airport. £4 shuttle bus, though signage for this would be greatly appreciated at the airport, hard to find.  ",Travelodge Gatwick Airport Central,agoda
"Main meal was awful,lovely young staff member gave me a free desert",Travelodge Gatwick Airport Central,agoda
Close to the airport but you have to catch a taxi to and from but is only £6.00 each way. ,Travelodge Gatwick Airport Central,agoda
"It’s okay that it was near the airport and it was very easy to get to Gatwick airport. There was shuttle bus, but a bit expensive. You have to borrow the hair dryer from the reception as they don’t have it in your own room. Check-in is quite strict that everyone has to check-in after 3pm, no earlier case except you pay....",Travelodge Gatwick Airport Central,agoda
Very small rooms. Clean enough. However air conditioning didn’t work. Room hot and stuffy,Travelodge Gatwick Airport Central,agoda
Nice one night stay. Clean and cozy room. ,Travelodge Gatwick Airport Central,agoda
"Very dirty, give us different room that what we already asked for booked! The fact that we could not cancel and go else where is not acceptable at all!!!",Travelodge Gatwick Airport Central,agoda
Would be nice if we could have more choices of meals in restaurants would enhance ,Travelodge Gatwick Airport Central,agoda
"I was in London for a short trip so wasn't fussy of the amenities as I was going to be out the whole day anyway. Decent hotel for the price.
So travellers arriving at South terminal, to take the shuttle bus to the hotel, go outside and take the elevator down. Upon exiting the elevator head left to bus stop #9 and take the #G1 or G3 shuttle to the hotel. It will cost you 4 pounds. Good luck",Travelodge Gatwick Airport Central,agoda
"It is OK, handy for the airport but all seems very basic.",Travelodge Gatwick Airport Central,agoda
Close to the terminal. A short bus ride. Room was clean and comfortable. Ideal for an overnight to catch an early flight.,Travelodge Gatwick Airport Central,agoda
"Annoyed they would not allow 2 hour early bookin without a 10.00 fee  Your at an airport and people come at all hours of the day. I flew all night and was exhausted. I sent an email a week before when I booked saying I would arrive early and had no response back. At least then I would have known and could have stayed at the airport or somewhere else instead of sitting in the lobby for two hours as  I was not willing to pay the fee. I checked out at 4 Am the next day to catch my next flight. Maybe they should pay me for the remaining time I had in my reservation to check out time.  The front desk said she could not override her system to allow me to book in early.....not impressed!!! Room was clean, quite and would consider staying there again. Bar staff friendly, food ok. ",Travelodge Gatwick Airport Central,agoda
"I have been staying here every time I come to the UK and the staff has always been helpful and friendly. 
The room was clean except for the trash in the room was there after I had the room serviced in between my days there (not a big deal to me) I would stay here again and again ",Travelodge Gatwick Airport Central,agoda
"No frills, but a good price with a very nice breakfast included. 

Staff were very friendly and helpful.

Negatives: Shower head dripped all night, just a little maintenance required is all. Also food on an evening was very poor quality, super cheap ingredients and tasteless, at a premium price.

Still give it 5 stars overall and would return",Travelodge Gatwick Airport Central,agoda
"The Travelodge served my purpose,  which was a one night stay between flights.
My main observation which really made no difference to the convenience of my stay, is that the reception area is very stark. It reminded me of a hostel foyer",Travelodge Gatwick Airport Central,agoda
"Great service, helpful staff always ready to give advice when it was needed great breakfasts and good coffee everyday, hotel shuttle always on time, rooms where spacious and clean.
Only issue was the frequency of the room make up I was there 7 days and only made up the room once not actually an issue but a bit troublesome.",Travelodge Gatwick Airport Central,agoda
"Had a great 7 day stay at the Travel-lodge I had some business to attend to over that period it made a great base to work from, the staff where helpful and friendly.
From the bar staff right through to the front desk they always had an answer to any question that you posed to them.
The only issue was the cleaning rosta it was difficult to work out, as different staff where allocated to different rooms so I couldn't get my room cleaned on most occasions.",Travelodge Gatwick Airport Central,agoda
"Very clean and welcoming! Despite location near to major road and airport surprisingly quiet and very comfortable beds. Didn’t pay a lot for the room so wasn’t expecting level of quality, certainly shows off its recent refit. All in all very good budget hotel that seems to aspire to higher levels!",Travelodge Gatwick Airport Central,agoda
"Hallway was dirty,  mirror light and shower extractor fan not connected to electric supply (staff said all rooms are like this!)  Our ground floor room had lots of traffic noise.  Lots of choices on the breakfast buffet, but most were cold.  Limited choice on the dinner menu. ",Travelodge Gatwick Airport Central,agoda
Short on amenities in the room. Just the bare nacesaties are supplied. ,Travelodge Gatwick Airport Central,agoda
"Clean, good size room and easy access to airport, great food and cocktails at restaurant.",Travelodge Gatwick Airport Central,agoda
"Overall is good.  Room good & easy take bus to airport.  Friendly staff 
Reason stay we have early morning flight next day happy with their services.  ",Travelodge Gatwick Airport Central,agoda
Helpful staff assistant hotel manager Ben,Travelodge Gatwick Airport Central,agoda
 The only regret I had my air-conditioner in my room did not work I did ask to get to get looked at but they did not show up but everything else was good ,Travelodge Gatwick Airport Central,agoda
"Very basic  supply inside the room. 
Great location to the Gatwick airpot",Travelodge Gatwick Airport Central,agoda
Clean and good for value stay if you plan to stay near Gatwick airport. There's a bus circling all the nearby airport hotels with 3£ one trip.,Travelodge Gatwick Airport Central,agoda
"This hotel was better than I was expecting - spacious rooms, comfortable. The airport shuttle bus stopped outside (£3). Like most airport hotels the bar/restaurant was overpriced and the food was average. The reception staff weren’t that friendly and I would have appreciated a trolley for my bags.",Travelodge Gatwick Airport Central,agoda
"Not good, look for a different hotel",Travelodge Gatwick Airport Central,agoda
"Clean, had kettle, comfortable and clean shower. Good meal selection from the cafe at reasonable price. 

But a far walk from bus station, and from the counter to our room ( we got the furthest room) 

We missed the shuttle so it's 350m walk from the nearest bus stop. Okay if you're solo with backpack but should reconsider if you have mobility restriction/knee issue/got luggage . If can catch the shuttle it's very convenient from the airport. 

We had to go to the front counter to activate the AC heater mode. no phone in the room so had to walk there. Max temp is capped at 25'C, and the AC seemed to off itself every few hours. As me and my mom were from tropical countries, obviously 25'C wasn't really sufficient. ",Travelodge Gatwick Airport Central,agoda
"Great value for what you get, really comfy bed and the £4 shuttle to Gatwick Airport is really convenient. It runs every 15 mins and gets you to the airport in 20 mins! ",Travelodge Gatwick Airport Central,agoda
Perfect location however it would be nice when booked to communicate how to get to the hotel using public transport and reminded to have cash on hand. Otherwise great staff in assisting me to get a taxi. ,Travelodge Gatwick Airport Central,agoda
The rooms was nice and cozy. It suitable for group like us with 3 adults. Near the airport.,Travelodge Gatwick Airport Central,agoda
Transport from airport to hotel have to use shuttle bus £4 every trip. ,Travelodge Gatwick Airport Central,agoda
"There are bus from airport to the hotel frequently. It takes 10 minutes. 
The hotel is good and convenient at this price.",Travelodge Gatwick Airport Central,agoda
"The room was clean and comfortable, was a very good rest before an early flight out at Gatwick airport. However there was only 30 minutes of free WiFi (!!!) and the airport shuttle is an extra 4 pounds each way for a 10 minute trip. These costs should be included in the room, instead it was an unpleasant surprise to have multiple hidden costs.",Travelodge Gatwick Airport Central,agoda
"Friendly , helpful staff and great service, hotel is in a great location and very clean. Only little issue we had was workman’s vans parking in the disabled bays, which meant dad had a longer walk back into the hotel ",Travelodge Gatwick Airport Central,agoda
Staff good and Frendly ,Travelodge Gatwick Airport Central,agoda
"Place is ok except for the fact that the hotels airport bus only takes cash, I always try to get rid of my cash before I leave a country. Uber was crazy expensive. £20 each way for a 5 minute drive",Travelodge Gatwick Airport Central,agoda
I couldn't sleep. The people in the next room seemed to want to party until 2am. I couldn't sleep and had to wake at 4am.  It's really put me off using the hotel again. ,Travelodge Gatwick Airport Central,agoda
"This is a clean hotel, not on the airport property. You can reach it by taking the G1 or G3 bus from Gatwick airport ( which runs 24 hours a day about every 20 minutes for the price of 4 pounds each way) or the number 100 bus that stops just on the road near the hotel. The room was clean. There are few options and the breakfast is not extensive but I believe it is good value especially compared to staying at the airport. The front desk staff were friendly and helpful. I would stay here again on a stopover. ",Travelodge Gatwick Airport Central,agoda
Strategic location. Friendly and helpful staff. Breakfast is nice and with variety choices. Room is really spacious and clean for 2. ,Travelodge Gatwick Airport Central,agoda
Chose the hotel as I had an early morning flight. Internet was an add on - really in this day and age when most hotels and certainly big brands offer fast wifi included. The cost was £3 with Virgin and there was continually a signal issue. I mean I got no signal at all. Tried to call the number provided but that wasn’t working and tried again with the same message so watched Midsomer Murders on TV. I wrote to Virgin who refused refund as they said I should have alerted them to the problem. Told them I did but have heard nothing back not a sausage. Travelodge should pull that outsourcing immediately - it does their brand no favours. My room was so cold I could not sleep even though I fiddled with the a/c heater control.,Travelodge Gatwick Airport Central,agoda
"I thought from the reviews that my co-worker and I could expect a clean room and wifi (who doesn't offer free wifi these days???) Room was not clean, bathroom not clean. Hallways dirty.. The twin room we booked was unavailable and so we had to share a bed.
Positive: Staff were friendly and foyer was comfortable.",Travelodge Gatwick Airport Central,agoda
"Pros great location for Gatwick
Clean and modern hotel
Friendly staff
CONS - £16 per night to park., this needs to be HIGHLIGHTED that there is a parking charge to park at the hotel, even when you a guest.
I've stayed at numerous hotels near airports and the charge is waived if you are a guest at that hotel",Travelodge Gatwick Airport Central,agoda
Easy access to airport with airport shuttle bus. Quiet throughout the night for good sleeping before a long flight home. ,Travelodge Gatwick Airport Central,agoda
The booking was for my grandson  I had a query re his arrival but it was soon fixed as I live in Australia,Travelodge Gatwick Airport Central,agoda
Worth it at all. Best hotel near gatwick! ,Travelodge Gatwick Airport Central,agoda
"We stayed for a night there. 
Front desk staff was helpful and friendly! 
Room was spacious! 
Really satisfied staying there. ",Travelodge Gatwick Airport Central,agoda
"Had trouble with parking as we could not pay using the machine provided as it was not working. The hotel workers were not helpful with this issue. Also parking charges were expensive.
Would not recommend this hotel if you needed to use the parking.",Travelodge Gatwick Airport Central,agoda
If 2 people in a room 2 towels would seem appropriate!,Travelodge Gatwick Airport Central,agoda
"Clean and spacious room and reasonable good breakfast provided.

Free Wifi for only miserable 30 mins! Had to pay around 8 pounds per 24 hours parking but cannot find a lot after midnight! Reception wanted to charge me 10 pounds to check in 1 hour early so preferred to wait even though room was available!",Travelodge Gatwick Airport Central,agoda
